listing_url,image_url,image_index,source_csv,source_row,city
https://www.tecnocasa.tn/vendre/appartement/cap-bon/hammamet/45572.html,https://cdn-media.medialabtc.it/tn/agencies/naha3/estates/45572/images/210174/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,193,"Hammamet, Jinene Hammamet - Hammamet Sud"
https://www.tecnocasa.tn/vendre/appartement/cap-bon/hammamet/48225.html,https://cdn-media.medialabtc.it/tn/agencies/naha3/estates/48225/images/230896/gallery_media.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,195,"Hammamet, Moncef bey - Hammamet Sud"
https://www.tecnocasa.tn/vendre/appartement/cap-bon/hammamet/48225.html,https://cdn-media.medialabtc.it/tn/agencies/naha3/estates/48225/images/230896/detail.jpeg,2,data\csv\tecnocasa_real_estate_listings_all.csv,195,"Hammamet, Moncef bey - Hammamet Sud"
https://www.tecnocasa.tn/vendre/appartement/cap-bon/hammamet/48424.html,https://cdn-media.medialabtc.it/tn/agencies/naha3/estates/48424/images/230317/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,192,"Hammamet, Yasmine Hammamet - Hammamet Sud"
https://www.tecnocasa.tn/vendre/appartement/cap-bon/hammamet/48648.html,https://cdn-media.medialabtc.it/tn/agencies/naha3/estates/48648/images/234725/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,200,"Hammamet, Rue moncef bey - Hammamet Sud"
https://www.tecnocasa.tn/vendre/appartement/cap-bon/hammamet/50272.html,https://cdn-media.medialabtc.it/tn/agencies/naha3/estates/50272/images/285669/gallery_media.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,197,"Hammamet, Hammamet sud - Hammamet Sud"
https://www.tecnocasa.tn/vendre/appartement/cap-bon/hammamet/50272.html,https://cdn-media.medialabtc.it/tn/agencies/naha3/estates/50272/images/285669/detail.jpeg,2,data\csv\tecnocasa_real_estate_listings_all.csv,197,"Hammamet, Hammamet sud - Hammamet Sud"
https://www.tecnocasa.tn/vendre/appartement/cap-bon/hammamet/50956.html,https://cdn-media.medialabtc.it/tn/agencies/naha2/estates/50956/images/282270/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,227,"Hammamet, Rue kharouba - Hammamet Nord"
https://www.tecnocasa.tn/vendre/appartement/cap-bon/hammamet/51464.html,https://cdn-media.medialabtc.it/tn/agencies/naha3/estates/51464/images/284472/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,190,"Hammamet, Oued baten Hammamet sud - Hammamet Sud"
https://www.tecnocasa.tn/vendre/appartement/cap-bon/hammamet/55494.html,https://cdn-media.medialabtc.it/tn/agencies/naha2/estates/55494/images/328056/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,234,"Hammamet, Rue Hammamet - Hammamet Nord"
https://www.tecnocasa.tn/vendre/appartement/cap-bon/hammamet/55512.html,https://cdn-media.medialabtc.it/tn/agencies/naha3/estates/55512/images/293723/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,191,"Hammamet, Rue Moncef Bay - Hammamet Sud"
